      1024 ,        8 ,     7.9306 ,  27.05
      1024 ,       32 ,     9.9533 ,  25.00
      1024 ,       64 ,    10.8844 ,  23.73
      1024 ,      128 ,     9.0961 ,  28.32
      4096 ,        8 ,    47.0935 ,  26.98
      4096 ,       32 ,    43.3898 ,  25.66
      4096 ,       64 ,    37.6360 ,  26.15
      4096 ,      128 ,    37.8922 ,  26.78
     16384 ,        8 ,   176.1872 ,  26.42
     16384 ,       32 ,   197.6834 ,  26.83
     16384 ,       64 ,   159.1050 ,  26.29
     16384 ,      128 ,   181.1107 ,  26.52
     65536 ,        8 ,   426.3114 ,  27.16
     65536 ,       32 ,   543.5244 ,  26.99
     65536 ,       64 ,   518.4810 ,  26.51
     65536 ,      128 ,   691.4247 ,  26.79
    262144 ,        8 ,   665.3671 ,  26.68
    262144 ,       32 ,  1485.6728 ,  26.90
    262144 ,       64 ,  1780.4826 ,  26.89
    262144 ,      128 ,  1938.0176 ,  26.77
   1048576 ,        8 ,   786.2559 ,  26.78
   1048576 ,       32 ,  2038.9523 ,  26.80
   1048576 ,       64 ,  2940.6803 ,  26.84
   1048576 ,      128 ,  3237.3048 ,  26.85
   2097152 ,        8 ,   812.5271 ,  26.87
   2097152 ,       32 ,  2670.0345 ,  26.87
   2097152 ,       64 ,  3977.6645 ,  26.80
   2097152 ,      128 ,  4157.8481 ,  26.88
